,S&P 500,iShares Global Tech ETF,iShares Global Healthcare ETF,FTSE 100,ESTX 50 PR.EUR,Nikkei 225,iShares MSCI Emerging Markets ETF,U.S. Treasury Bond Futures,ASI Asia Pacific ex-Japan Tracker Fund,Alphabet Inc.,Facebook Inc.,Microsoft Corporation,Snap Inc.,Spotify Technology S.A.,"Netflix, Inc.",Apple Inc.,"Datadog, Inc",MSCI World ESG Leaders,Lyxor Core FTSE Actuaries UK Gilts 0-5Y,Backtested strategy
2016-05-24,0.0007200727850305711,0.000992321536119319,0.0007759546757656157,0.000711028104288253,0.0013851818522712344,-0.0004924823888031375,0.0005402324534836747,-0.00013000390011700565,0.0,0.0011845570906647957,0.0007851377103345163,0.0016411256234395491,0.0,0.0,0.0016639765887457244,0.0008023277696735006,0.0,0.0,0.0,0.01057942990089661
2016-05-25,0.00036709160085349337,0.0004251116754586845,0.0003586120868296174,0.00036897110917913514,0.0009001211177283088,0.0008249099889853053,0.0006319631612430788,-0.00015037593984962584,0.0,0.00037860711897669556,8.496266370472405e-05,0.0005406939266129399,0.0,0.0,0.0012419945177981149,0.0009246836567319575,0.0,0.0,0.0,0.006897346684252429
2016-05-26,-1.107598469377755e-05,0.00010675328081398062,2.6196329655959222e-05,2.3532843317236302e-05,0.00016520193590544165,4.746174805806004e-05,0.0003522749167834799,0.0003116674207007499,0.0,-8.345530617541379e-05,0.0007053863831146519,-0.0002322559042014008,0.0,0.0,0.0013709428921860128,0.00041737313377787047,0.0,0.0,0.0,0.003200003689242851
2016-05-27,0.0002256240718748806,0.00027167691077111195,0.00019894593698663746,4.283647764218535e-05,0.00012458691649423686,0.0001957435064493821,-1.590514631407516e-05,-7.995682331540799e-05,0.0,0.0006207155297731929,-3.965056157971182e-05,0.00043614742312827586,0.0,0.0,0.0002508485297519961,-3.14445540332962e-05,0.0,0.0,0.0,0.0022001682176294077
2016-05-30,0.0,0.0,0.0,0.0,0.00019712445367616268,0.000729001001434377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009261254551105396
2016-05-31,-5.2908593688537556e-05,0.00015370875203447656,-2.608014011608098e-05,-0.0003357248235250807,-0.0004518811796409181,0.0005148469494959951,6.363449185710722e-05,0.0001301275249744736,0.0,0.00021981892317159498,-0.00025129794037791415,0.0006840500719764602,0.0,0.0,-0.0003719381356292549,-0.0002570043870552497,0.0,0.0,0.0,1.9351513477071597e-05
2016-06-01,5.973907104722383e-05,-7.39816908584589e-05,0.0001826400884369069,-0.00032858756176799473,-0.0004245251214360222,-0.0008527638570573539,-3.178680174193164e-05,6.9895855175788e-05,0.0,-0.00011231010809910711,-1.3289241338441582e-05,-0.00014896088427123432,0.0,0.0,-0.0005439150669889086,-0.0007378710886529223,0.0,0.0,0.0,-0.0029557164075524564
2016-06-02,0.00014866727604258642,1.057699566503186e-05,0.000535623425468955,-5.354877127000375e-05,-8.503982597676379e-05,-0.001220452744711147,0.00042932881498871175,0.0003589876548134293,0.0,-0.00026883935789754807,6.64656469115136e-05,-0.0003684706424935738,0.0,0.0,-0.00013480756102707562,-0.00039556726017458087,0.0,0.0,0.0,-0.000977076349660465
2016-06-03,-0.00015325340415216435,-0.00012168128688250819,6.177000227562022e-05,0.0002042094339634461,-0.0006299089664026223,0.00025320180719291016,0.0008043826303572033,0.0006140681021333921,0.0,-0.0005807918325329301,-0.00020356910522333288,-0.0006919836818829344,0.0,0.0,-0.0008629000649772572,0.00010771360363484728,0.0,0.0,0.0,-0.0011987427624963302
2016-06-06,0.0002577516342731009,0.00028104110435539216,0.000277669494394719,0.0005407569518259532,7.637558267136131e-05,-0.00019671316899707696,0.0005592443477700055,-0.00014685150375940017,0.0,-0.0004218773477118129,0.00014216346012487895,0.00034552128481672056,0.0,0.0,0.0006077560345783228,0.00038162321124291546,0.0,0.0,0.0,0.00270446108558508
2016-06-07,6.78655995720122e-05,0.0002426509408429174,-0.0001329910956877038,9.312584775987783e-05,0.0006800962945632494,0.00030290062025423463,0.0004765131736185377,0.00011780991370423595,0.0,7.347781340810418e-06,-0.0004563555284776115,-3.028762170441036e-05,0.0,0.0,-0.00044408169904553454,0.00021345793988507205,0.0,0.0,0.0,0.0011380521666256875
2016-06-08,0.0001741877029404321,8.92679961875867e-05,9.742695368272623e-05,0.0001423720012897186,-0.0003622780806869128,0.000490701538020584,0.00038083264936789914,0.00011754679831908388,0.0,0.0008541205690600613,0.00028157045073849327,-6.0614516986970546e-05,0.0,0.0,-0.0010695965669195815,-4.782981350777499e-05,0.0,0.0,0.0,0.0010877076815053455
2016-06-09,-9.04083522013742e-05,-6.290464361893405e-05,-0.00026103525845047165,-0.0005813160442167046,-0.0005355946882191589,-0.0005081805164890195,-0.0006049575938019633,0.00021502223525387816,0.0,2.1679630741686545e-05,7.557492917516886e-05,-0.00042478204094442695,0.0,0.0,-0.0004141281272556728,0.0003776888712438624,0.0,0.0,0.0,-0.0027933415987831303
2016-06-10,-0.0004829042701644847,-0.0006874878786150152,-0.000771573034944894,-0.0009805246421065931,-0.0013720332303546073,-0.00021171716082436567,-0.0013310869253219057,0.00025308323518246603,0.0,-0.000662430870289487,-0.0008612095286978663,-0.00014274498837748385,0.0,0.0,-0.0018105805994460486,-0.0004330953137648156,0.0,0.0,0.0,-0.0094943052077251
